,dialog,cleaned_dialog
3519,unfortunately we weren t able to convince him to go to rehab,unfortunately able convince go rehab
3520,well based on what you told me i m not surprised,well based told surprised
3521,but we did convince him to leave the motel,convince leave motel
3522,come say hello,come say hello
3523,leo this is penny our friend and neighbor,leo penny friend neighbor
3524,hi leo how are you feeling,hi leo feeling
3525,let me ask you something penny,let ask something penny
3526,have you ever woken up in a fleabag motel covered in your own vomit,ever woken fleabag motel covered vomit
3527,next to a transsexual prostitute,next transsexual prostitute
3528,no then don t ask me how i m feeling,ask feeling
3529,well that s leo,well leo
3530,hey why don t you tell me about your showcase last night,hey tell showcase last night
3531,oh it was okay i guess,oh okay guess
3532,wasn t a big turnout but they both seemed to like it,big turnout seemed like
3533,there were only two people there by the end yeah,two people end yeah
3534,damn you chaplain horrigan,damn chaplain horrigan
3535,i m sorry,sorry
3536,the philippines,philippines
3537,,
3538,the subic bay naval station,subic bay naval station
3539,a young boy on the cusp of manhood,young boy cusp manhood
3540,his only companions mongrel dogs and malarial mosquitoes,companions mongrel dogs malarial mosquitoes
3541,desperate and alone he reached out to a man,desperate alone reached man
3542,who promised to introduce him to a merciful loving god,promised introduce merciful loving god
3543,but who instead introduced him to a gin pickled tongue,instead introduced gin pickled tongue
3544,shoved down his adolescent throat,shoved adolescent throat
3545,what choice did he have,choice
3546,but to drink shoot and snort his pain away,drink shoot snort pain away
3547,don t forget genetic predisposition towards addiction,forget genetic predisposition towards addiction
3548,never been proven,never proven
3549,there have been studies not double blind studies,studies double blind studies
3550,how could there be who would be the control group,could would control group
3551,as you can see detoxing can get pretty ugly,see detoxing get pretty ugly
3552,let s give them some privacy yeah,let give privacy yeah
3553,do you wanna come over have coffee,wanna come coffee
3554,sounds good i have a video of me singing last night,sounds good video singing last night
3555,do you wanna see it,wanna see
3556,gee why wouldn t i this is even better,gee even better
3557,than you coming to the showcase now i get to watch you watch me,coming showcase get watch watch
3558,yeah,yeah
3559,funny how things work out,funny things work
3560,but he loved the companionship and the wisdom,loved companionship wisdom
3561,that his own father failed to provide,father failed provide
3562,your parents made the right decision,parents made right decision
3563,i cannot work like this,cannot work like
3564,font color e ce man speaking indistinctly on tv font,e ce man speaking indistinctly tv
3565,this is amazing just sitting on a couch watching tv with a woman,amazing sitting couch watching tv woman
3566,not being drunk or high or wondering if you re a dude down there,drunk high wondering dude
3567,leo you are a very sweet really funny guy,leo sweet really funny guy
3568,you re gonna do okay,gonna okay
3569,one day at a time penny,one day time penny
3570,one day at a time,one day time
3571,how long is he going to stay here,long going stay
3572,he s a homeless drug addict leonard where is he going to go,homeless drug addict leonard going go
3573,boy you have a lot to learn about lying,boy lot learn lying
3574,checkmate aaarggh,checkmate aaarggh
3575,again,
3576,obviously you re not well suited for three dimensional chess,obviously well suited three dimensional chess
3577,perhaps three dimensional candy land would be more your speed,perhaps three dimensional candy land would speed
3578,just reset the board,reset board
3579,it must be humbling to suck on so many different levels,must humbling suck many different levels
3580,font color e ce knocking on door font,e ce knocking door
3581,hey guys hey,hey guys hey
3582,get my mail yeah right here,get mail yeah right
3583,how was nebraska well better than north dakota,nebraska well better north dakota
3584,i guess that joke s only funny in nebraska,guess joke funny nebraska
3585,from the data at hand you can t draw that conclusion,data hand draw conclusion
3586,all you can say with absolute certainty is that that joke is not funny here,say absolute certainty joke funny
3587,boy it s good to be back,boy good back
3588,how s your family oh it was the worst trip,family oh worst trip
3589,everyone got sick over the weekend sick,everyone got sick weekend sick
3590,here we go,go
3591,what kind of sick oh the flu i guess,kind sick oh flu guess
3592,i don t need you to guess i need you to know,need guess need know
3593,now when did the symptoms first appear,symptoms first appear
3594,maybe friday,maybe friday
3595,friday was that morning or afternoon,friday morning afternoon
3596,i don t think woman,think woman
3597,who blew their nose and when,blew nose
3598,sheldon relax she doesn t have any symptoms,sheldon relax symptoms
3599,i m sure she s not contagious,sure contagious
3600,oh please,oh please
3601,if influenza was only contagious after symptoms appear,influenza contagious symptoms appear
3602,it would ve died out years ago,would died years ago
3603,somewhere between tool using and cave painting,somewhere tool using cave painting
3604,homo habilis would ve figured out to kill the guy with the runny nose,homo habilis would figured kill guy runny nose
3605,penny you ll have to excuse sheldon he s a bit of a germaphobe,penny excuse sheldon bit germaphobe
3606,that s okay i understand,okay understand
3607,thanks for your consideration now please leave,thanks consideration please leave
3608,you d better go before he starts spraying you with lysol,better go starts spraying lysol
3609,okay well thank you for getting my mail,okay well thank getting mail
3610,no problem welcome home,problem welcome home
3611,font color e ce can spraying font,e ce spraying
3612,font color sheldon font what,sheldon
3613,what the hell are you doing,hell
3614,i m making petri dishes to grow throat cultures,making petri dishes grow throat cultures
3615,with lime jell o,lime jell
3616,i need a growth medium and someone polished off the apricot yogurt,need growth medium someone polished apricot yogurt
3617,here swab my throat,swab throat
3618,i don t think so leonard,think leonard
3619,if i m going to get ahead of this i need to find out what s growing in my throat,going get ahead need find growing throat
3620,sheldon you are not sick,sheldon sick
3621,this is but you are not,
3622,we have no idea what pathogen,idea pathogen
3623,typhoid penny has introduced into our environment,typhoid penny introduced environment
3624,and having never been to nebraska i m certain i have no corn husking antibodies,never nebraska certain corn husking antibodies
3625,sheldon don t you think you re overreacting,sheldon think overreacting
3626,when i m lying comatose in a hospital relying on inferior minds to cure me,lying comatose hospital relying inferior minds cure
3627,these cultures and my accompanying notes,cultures accompanying notes
3628,will give them a fighting chance,give fighting chance
3629,i m going back to bed,going back bed
3630,wait put this in the bathroom what for,wait put bathroom
3631,i need to measure my fluid intake and output,need measure fluid intake output
3632,to make sure my kidneys aren t shutting down,make sure kidneys shutting
3633,i mix pancake batter in this,mix pancake batter
3634,no that measuring cup has always been for urine,measuring cup always urine
3635,you had time to make a label for everything in this apartment,time make label everything apartment
3636,including the label maker,including label maker
3637,but you didn t have seconds to make one that said urine cup,seconds make one said urine cup
3638,it s right here on the bottom,right bottom
3639,huh,huh
3640,i guess i owe the betty crocker company a letter of apology,guess owe betty crocker company letter apology
3641,font color e ce coughing font,e ce coughing
3642,font color e ce in congested voice font oh dear god,e ce congested voice oh dear god
3643,leonard,leonard
3644,leonard i m sick,leonard sick
3645,leonard,leonard
3646,font color e ce sheldon coughing font,e ce sheldon coughing
3647,leonard i m sick,leonard sick
3648,leonard,leonard
3649,leonard,leonard
3650,leonard,leonard
3651,leonard my comforter fell down and my sinuses hurt when i bend over,leonard comforter fell sinuses hurt bend
3652,leonard,leonard
3653,ow,ow
3654,font color leonard font hey leonard where are you,leonard hey leonard
3655,i m at work,work
3656,at in the morning,morning
3657,yes,yes
3658,on sunday,sunday
3659,yes,yes
3660,why they asked me to come in,asked come
3661,well i didn t hear the phone ring they texted me,well hear phone ring texted
3662,well as i predicted i am sick,well predicted sick
3663,my fever has been tracking up exponentially since a m,fever tracking exponentially since
3664,and i am producing sputum at an alarming rate,producing sputum alarming rate
3665,font color e ce sheldon coughing font,e ce sheldon coughing
3666,no kidding nope not only that,kidding nope
3667,it has shifted from clear to milky green,shifted clear milky green
3668,all right well get some rest and drink plenty of fluids,right well get rest drink plenty fluids
3669,what else would i drink gases solids ionized plasma,else would drink gases solids ionized plasma
3670,drink whatever you want,drink whatever want
3671,i want soup then make soup,want soup make soup
3672,we don t have soup i m at work sheldon,soup work sheldon
3673,font color e ce dog barking font,e ce dog barking
3674,is that a dog yes,dog yes
3675,in the lab yes,lab yes
3676,they re training dogs to operate the centrifuge,training dogs operate centrifuge
3677,for when they need dogs to operate the centrifuge for blind scientists,need dogs operate centrifuge blind scientists
3678,i have to go,go
3679,font color e ce phone ringing font,e ce phone ringing
3680,font color mrs wolowitz font howard it s the phone,mrs wolowitz howard phone
3681,i know it s the phone ma i hear the phone,know phone hear phone
3682,well who s calling at this ungodly hour i don t know,well calling ungodly hour know
3683,well ask them why they re calling at this ungodly hour,well ask calling ungodly hour
3684,how can i ask them when i m talking to you,ask talking
3685,hello,hello
3686,howard it s leonard code milky green,howard leonard code milky green
3687,dear lord not milky green affirmative with fever,dear lord milky green affirmative fever
3688,who s on the phone it s leonard,phone leonard
3689,why is he calling sheldon s sick,calling sheldon sick
3690,were you playing with him,playing
3691,for god s sake ma i m years old,god sake years old
3692,excuse me mr grownup,excuse mr grownup
3693,what do you want for breakfast chocolate milk and eggos please,want breakfast chocolate milk eggos please
3694,howard listen to me hang on call waiting,howard listen hang call waiting
3695,no don t don t hello,hello
3696,howard i m sick,howard sick
3697,font color e ce imitating mrs wolowitz font howard s sleeping this is his mother,e ce imitating mrs wolowitz howard sleeping mother
3698,why are you calling at this ungodly hour,calling ungodly hour
3699,i need soup,need soup
3700,then call your own mother,call mother
3701,font color e ce line beeps font,e ce line beeps
3702,font color e ce in normal voice font it was sheldon,e ce normal voice sheldon
3703,i tried to stop you it s my own fault,tried stop fault
3704,i forgot the protocol we put in place after the great ear infection of,forgot protocol put place great ear infection
3705,you call koothrappali,call koothrappali
3706,we need to find a place to lay low for the next to hours,need find place lay low next hours
3707,stand by ma can my friends come over,stand friends come
3708,i just had the carpet steamed,carpet steamed
3709,that s a negatory,negatory
3710,but there s a planet of the apes marathon at the nuart today,planet apes marathon nuart today
3711,five movies two hours apiece,five movies two hours apiece
3712,it s a start,start
3713,homeless crazy guy at table,homeless crazy guy table
3714,font color e ce blows nose font,e ce blows nose
3715,font color e ce coughs font,e ce coughs
3716,no just crazy,crazy
3717,sheldon what are you doing here,sheldon
3718,i m sick thank you very much how could you ve gotten it from me,sick thank much could gotten
3719,i m not sick you re a carrier,sick carrier
3720,all these people here are doomed,people doomed
3721,you re doomed shh,doomed shh
3722,sheldon what do you want,sheldon want
3723,i want soup,want soup
3724,font color e ce clears throat loudly font,e ce clears throat loudly
3725,why didn t you just,
3726,font color e ce clears throat loudly font,e ce clears throat loudly
3727,why didn t you just have soup at home,soup home
3728,penny i have an iq of,penny iq
3729,don t you imagine that if there were a way for me,imagine way
3730,to have had soup at home i would have thought of it,soup home would thought
3731,you can have soup delivered,soup delivered
3732,i did not think of that,think
3733,clearly febrile delirium is setting in,clearly febrile delirium setting
3734,please bring me some soup while i still understand what a spoon is for,please bring soup still understand spoon
3735,okay what kind of soup do you want,okay kind soup want
3736,well my mother used to make me this split pea,well mother used make split pea
3737,with little frankfurter slices and these homemade croutons,little frankfurter slices homemade croutons
3738,we have chicken tortilla and potato leek,chicken tortilla potato leek
3739,can i get any of those with little frankfurter slices and homemade croutons,get little frankfurter slices homemade croutons
3740,no,
3741,then surprise me,surprise
3742,font color e ce blows nose font,e ce blows nose
3743,would you call that moss green or forest green,would call moss green forest green
3744,font color howard font look at this everyone went chimp,howard look everyone went chimp
3745,font color rajesh font i d like to point out i voted for orangutan,rajesh like point voted orangutan
3746,but you shouted me down,shouted
3747,font color e ce cell phone rings font,e ce cell phone rings
3748,font color leonard font oh hi penny hey where are you,leonard oh hi penny hey
3749,i m at work,work
3750,you sound funny,sound funny
3751,oh i m in a radiation suit,oh radiation suit
3752,what s up yeah well i m at work too,yeah well work
3753,and you ll never guess who s here infecting my entire station,never guess infecting entire station
3754,sheldon s at the cheesecake factory,sheldon cheesecake factory
3755,just tell him to go home well he won t leave,tell go home well leave
3756,he says he s afraid he ll pass out on the bus and someone will harvest his organs,says afraid pass bus someone harvest organs
3757,he s paranoid and he s established a nest,paranoid established nest
3758,can you please come get him,please come get
3759,uh yeah i d be happy to penny,uh yeah happy penny
3760,font color e ce howard imitates alarm font,e ce howard imitates alarm
3761,font color leonard font oh my god there s a breach in the radiation unit,leonard oh god breach radiation unit
3762,the whole city is in jeopardy,whole city jeopardy
3763,oh my god professor guggenheim is melting gotta go bye,oh god professor guggenheim melting gotta go bye
3764,i feel really guilty font color rajesh font you did what you had to do,feel really guilty rajesh
3765,howard font color e ce imitates charlton heston font take your stinking paws off my popcorn,howard e ce imitates charlton heston take stinking paws popcorn
3766,you damn dirty ape,damn dirty ape
3767,thanks for bringing me home,thanks bringing home
3768,oh it s okay i didn t really need to work today,oh okay really need work today
3769,it s not like i have rent or car payments or anything,like rent car payments anything
3770,good good,good good
3771,okay well you feel better,okay well feel better
3772,wait where are you going,wait going
3773,um home to write some bad checks,um home write bad checks
3774,you re going to leave me,going leave
3775,sheldon you are a grown man haven t you ever been sick before,sheldon grown man ever sick
3776,of course but not by myself,course
3777,really never,really never
3778,well once when i was and spending the summer,well spending summer
3779,at the heidelberg institute in germany,heidelberg institute germany
3780,studying abroad no visiting professor,studying abroad visiting professor
3781,anyway the local cuisine was a little more sausage based than i m used to,anyway local cuisine little sausage based used
3782,and the result was an internal blitzkrieg,result internal blitzkrieg
3783,with my lower intestine playing the part of czechoslovakia,lower intestine playing part czechoslovakia
3784,and there was no one there to take care of you,one take care
3785,no my mom had to fly back to texas to help my dad,mom fly back texas help dad
3786,because the house had slipped off the cinder blocks again,house slipped cinder blocks
3787,again it was tornado season,tornado season
3788,and it was an aluminum house,aluminum house
3789,anyway the housekeeper in the faculty residence didn t speak any english,anyway housekeeper faculty residence speak english
3790,when i finally managed to convince her i was sick,finally managed convince sick
3791,she said m chtest du eine darmsp lung,said chtest du eine darmsp lung
3792,what does that mean,mean
3793,based on what happened next i assume it means would you like an enema,based happened next assume means would like enema
3794,okay sweetie i ll take care of you what do you need,okay sweetie take care need
3795,well my mom used to give me sponge baths,well mom used give sponge baths
3796,okay ground rules,okay ground rules
3797,no sponge baths and definitely no enemas,sponge baths definitely enemas
3798,agreed,agreed
3799,here we go ten and a half hours of apey goodness,go ten half hours apey goodness
3800,font color e ce thx s deep note plays over speakers font,e ce thx deep note plays speakers
3801,font color e ce glasses clatter font,e ce glasses clatter
3802,damn it my glasses,damn glasses
3803,okay i m blind here guys can you help me find them,okay blind guys help find
3804,sorry okay,sorry okay
3805,font color e ce glasses breaking font,e ce glasses breaking
3806,found them,found
3807,font color e ce music playing over speakers font,e ce music playing speakers
3808,oh great i m sorry don t you have a spare,oh great sorry spare
3809,yeah at home if you leave now you can be back,yeah home leave back
3810,before the gorillas whip the crap out of charlton heston,gorillas whip crap charlton heston
3811,unless sheldon s there,unless sheldon
3812,you ll be trapped forever in his whiny hyper neurotic snot web,trapped forever whiny hyper neurotic snot web
3813,hi penny,hi penny
3814,i was just wondering is sheldon still at the restaurant,wondering sheldon still restaurant
3815,okay that was very nice of you okay i gotta go,okay nice okay gotta go
3816,got kind of a full blown chernobyl thing here gotta go bye,got kind full blown chernobyl thing gotta go bye
3817,he s home i m screwed,home screwed
3818,ten and a half hours of apey blurriness,ten half hours apey blurriness
3819,how about lasik,lasik
3820,you want me to get eye surgery would you rather go back,want get eye surgery would rather go back
3821,and deal with sheldon or have a stranger carve out your corneas with a laser beam,deal sheldon stranger carve corneas laser beam
3822,well i m thinking,well thinking
3823,okay nice and cozy,okay nice cozy
3824,okay i ll see you later wait,okay see later wait
3825,will you please rub this on my chest,please rub chest
3826,oh sheldon can t you do that yourself,oh sheldon
3827,vaporub makes my hands smell funny,vaporub makes hands smell funny
3828,but sheldon please please please,sheldon please please please
3829,i can t believe i m doing this,believe
3830,no no counterclockwise or my chest hair mats,counterclockwise chest hair mats
3831,sorry,sorry
3832,font color e ce sheldon sighs font,e ce sheldon sighs
3833,can you sing soft kitty,sing soft kitty
3834,what,
3835,my mom used to sing it to me when i was sick,mom used sing sick
3836,i m sorry honey i don t know it i ll teach you,sorry honey know teach
3837,font color e ce singing font soft kitty warm kitty,e ce singing soft kitty warm kitty
3838,little ball of fur,little ball fur
3839,happy kitty sleepy kitty,happy kitty sleepy kitty
3840,purr purr purr,purr purr purr
3841,now you,
3842,font color e ce sighs font,e ce sighs
3843,font color e ce singing font soft kitty warm kitty,e ce singing soft kitty warm kitty
3844,little ball of fur,little ball fur
3845,keep rubbing,keep rubbing
3846,little ball of fur,little ball fur
3847,what do you see what do you see i can t,see see
3848,living room appears to be empty okay he must be in his bedroom,living room appears empty okay must bedroom
3849,my spare glasses are in my bedroom on my dresser next to my bat signal,spare glasses bedroom dresser next bat signal
3850,i m not going in there,going
3851,raj no way jose,raj way jose
3852,but i can t do it i can t see anything it s all right,see anything right
3853,wireless mini cam and bluetooth headset,wireless mini cam bluetooth headset
3854,we ll be your eyes,eyes
3855,fine one more thing,fine one thing
3856,this is a sub sonic impact sensor,sub sonic impact sensor
3857,if sheldon gets out of bed and starts to walk,sheldon gets bed starts walk
3858,this will register it and send a signal to the laptop,register send signal laptop
3859,at that point based on the geography of the apartment and the speed of sheldon,point based geography apartment speed sheldon
3860,you ll have seven seconds to get out glasses or no glasses,seven seconds get glasses glasses
3861,won t my footsteps set it off,footsteps set
3862,no you ll be on your hands and knees,hands knees
3863,now you ll need to get the sensor close to sheldon s room,need get sensor close sheldon room
3864,how do i carry it if i m on my hands and knees,carry hands knees
3865,font color howard font stay low,howard stay low
3866,bear left,bear left
3867,now keep true what,keep true
3868,it means go straight then just say go straight,means go straight say go straight
3869,you don t say go straight when you re giving bearings you say keep true,say go straight giving bearings say keep true
3870,all right,right
3871,i just hit my head,hit head
3872,because you didn t keep true,keep true
3873,okay turn right,okay turn right
3874,the picture s breaking up,picture breaking
3875,angle your head to the right,angle head right
3876,now a little more,little
3877,little more,little
3878,that s it now just keep true,keep true
3879,all right you re close enough to sheldon s room deploy the sensor,right close enough sheldon room deploy sensor
3880,now turn it on,turn
3881,it wasn t on no,
3882,then why did i have to crawl,crawl
3883,oh i guess you didn t,oh guess
3884,okay it s on,okay
3885,good from this point forward you will have to crawl,good point forward crawl
3886,i know,know
3887,font color e ce beeping font,e ce beeping
3888,hang on the sensor s picking up something,hang sensor picking something
3889,turn your head back,turn head back
3890,you rat bastard,rat bastard
3891,font color howard font told you the sensor would work,howard told sensor would work
3892,hi,hi
3893,you deliberately stuck me with sheldon,deliberately stuck sheldon
3894,come on i had to you see what he s like,come see like
3895,font color sheldon font penny penny i m hungry,sheldon penny penny hungry
3896,it s okay sweetie good news,okay sweetie good news
3897,leonard s home no,leonard home
3898,here you go good luck bye oh wait wait,go good luck bye oh wait wait
3899,font color sheldon font leonard i m hungry wait penny take me with you,sheldon leonard hungry wait penny take
3900,font color sheldon font leonard,sheldon leonard
3901,i want grilled cheese,want grilled cheese
3902,do you think penny will come here and take care of us,think penny come take care us
3903,i don t think penny s ever coming here again,think penny ever coming
3904,i m very congested,congested
3905,yeah so,yeah
3906,can you go to the kitchen and get me the turkey baster labeled mucus,go kitchen get turkey baster labeled mucus
3907,if i stand i ll vomit,stand vomit
3908,under the sink yellow tupperware bowl,sink yellow tupperware bowl
3909,here s the problem with teleportation,problem teleportation
3910,lay it on me,lay
3911,assuming a device could be invented,assuming device could invented
3912,which would identify the state of matter of an individual in one location,would identify state matter individual one location
3913,and transmit that to a distant location for reassembly,transmit distant location reassembly
3914,you wouldn t have transported the individual,transported individual
3915,you would have destroyed him in one location and re created him in another,would destroyed one location created another
3916,how about that,
3917,i would never use a transporter,would never use transporter
3918,the original sheldon would have to be disintegrated,original sheldon would disintegrated
3919,in order to create a new sheldon,order create new sheldon
3920,would the new sheldon be in any way an improvement on the old sheldon,would new sheldon way improvement old sheldon
3921,no he would be exactly the same,would exactly
3922,that is a problem,problem
3923,so you see it too,see
3924,dr hofstadter dr cooper,dr hofstadter dr cooper
3925,font color both font dr gablehauser,dr gablehauser
3926,gentlemen i d like you to meet dennis kim,gentlemen like meet dennis kim
3927,dennis is a highly sought after doctoral candidate,dennis highly sought doctoral candidate
3928,we re hoping to have him do graduate work here,hoping graduate work
3929,graduate work very impressive and he s only years old,graduate work impressive years old
3930,not bad i myself started graduate school at,bad started graduate school
3931,well i lost a year while my family was tunneling out of north korea,well lost year family tunneling north korea
3932,advantage kim,advantage kim
3933,i thought maybe you could show dennis around,thought maybe could show dennis around
3934,let him see why we re the best physics research facility in the country,let see best physics research facility country
3935,i know you re not,know
3936,you don t have an open science grid computer or a free electron laser,open science grid computer free electron laser
3937,the string theory research being done is a dead end,string theory research done dead end
3938,excuse me that is my research and it is by no means a dead end,excuse research means dead end
3939,well obviously you don t see it yet but trust me you will,well obviously see yet trust
3940,dennis we ve discussed this,dennis discussed
3941,we re in the process of updating our equipment,process updating equipment
3942,we welcome your input on our research goals,welcome input research goals
3943,we agree to look the other way if you use percent,agree look way use percent
3944,of the money you attract to smuggle your grandfather out of pyongyang,money attract smuggle grandfather pyongyang
3945,we want him here boys,want boys
3946,make it happen yes sir,make happen yes sir
3947,you can count on us we re on it,count us
3948,what the hell do you mean dead end,hell mean dead end
3949,i mean the whole landscape of false vacuums in string theory,mean whole landscape false vacuums string theory
3950,could be as large as to the th power,could large th power
3951,in addition,addition
3952,ooh look chocolate milk,ooh look chocolate milk
3953,i sense a disturbance in the force,sense disturbance force
3954,font color e ce imitating yoda font a bad feeling i have about this mm,e ce imitating yoda bad feeling mm
3955,so how long have you been in america,long america
3956,a year and a half no kidding,year half kidding
3957,you speak english really well so do you,speak english really well
3958,except for your tendency to end sentences with prepositions,except tendency end sentences prepositions
3959,what are you talking about,talking
3960,that,
3961,he s not wrong,wrong
3962,all right and this is my office,right office
3963,is this part of the tour nope goodbye,part tour nope goodbye
3964,sheldon we ve hardly shown him anything,sheldon hardly shown anything
3965,all right this is my desk these are my books,right desk books
3966,this is my door please close it behind you goodbye,door please close behind goodbye
3967,you re doing work in quantum loop corrections,work quantum loop corrections
3968,keen observation goodbye you see where you went wrong don t you,keen observation goodbye see went wrong
3969,leonard ha,leonard ha
3970,yeah get him out,yeah get
3971,come i ll show you the rec center they ve got nautilus equipment,come show rec center got nautilus equipment
3972,do i look like i lift weights,look like lift weights
3973,not heavy ones,heavy ones
3974,it s startling you haven t considered a lorentz invariant or field theory approach,startling considered lorentz invariant field theory approach
3975,you think i haven t considered it,think considered
3976,you really think i haven t considered it have you considered it,really think considered considered
3977,get him out leonard come on dennis,get leonard come dennis
3978,i ll show you the radiation lab,show radiation lab
3979,wow you won the stevenson award,wow stevenson award
3980,yes in fact i am the youngest person ever to win it,yes fact youngest person ever win
3981,really how old,really old
3982,fourteen and a half,fourteen half
3983,mm you were the youngest ever to win it,mm youngest ever win
3984,it s like looking into an obnoxious mirror isn t it,like looking obnoxious mirror
3985,mm this is really delicious isn t it,mm really delicious
3986,still can t talk to me unless you re drunk huh,still talk unless drunk huh
3987,oh sweetie you are so damaged,oh sweetie damaged
3988,hey i m damaged too,hey damaged
3989,how about a hug for howie,hug howie
3990,sure raj hug howard,sure raj hug howard
3991,font color e ce sheldon sighs font,e ce sheldon sighs
3992,something you d like to share,something like share
3993,a tale of woe perhaps,tale woe perhaps
3994,fifteen years old,fifteen years old
3995,dennis kim is years old and he s already correcting my work,dennis kim years old already correcting work
3996,today i went from being wolfgang amadeus mozart to,today went wolfgang amadeus mozart
3997,you know that other guy,know guy
3998,antonio salieri,antonio salieri
3999,oh god now even you re smarter than me,oh god even smarter
4000,you know you don t have so many friends that you can afford to start insulting them,know many friends afford start insulting
4001,just eat sheldon you ll feel better,eat sheldon feel better
4002,why waste food,waste food
4003,when a cow goes dry they don t keep feeding it,cow goes dry keep feeding
4004,they just take her out and shoot her between the eyes,take shoot eyes
4005,i m confused did sheldon stop giving milk,confused sheldon stop giving milk
4006,you can t let this kid get to you,let kid get
4007,you knew that someday someone would come along who s younger and smarter,knew someday someone would come along younger smarter
4008,yes but i assumed i would ve been dead hundreds of years,yes assumed would dead hundreds years
4009,and that there d be an asterisk by his name because he d be a cyborg,asterisk name cyborg
4010,so you got a little competition i really don t see what the big deal is,got little competition really see big deal
4011,of course you don t you ve never excelled at anything,course never excelled anything
4012,i don t understand exactly how did he get any friends in the first place,understand exactly get friends first place
4013,we liked leonard,liked leonard
4014,what are you gonna do just give up,gonna give
4015,yes it s what a rational person does when his entire life s work is invalidated,yes rational person entire life work invalidated
4016,by a postpubescent asian wunderkind,postpubescent asian wunderkind
4017,he ceases his fruitless efforts he donates his body to scientific research,ceases fruitless efforts donates body scientific research
4018,and he waits to die,waits die
4019,i m confused again is he waiting or do we get to shoot him between the eyes,confused waiting get shoot eyes
4020,hey hey,hey hey
4021,i ve decided you re right,decided right
4022,my career is not over great,career great
4023,but since dennis kim has rendered my research pointless,since dennis kim rendered research pointless
4024,i just have to find something else to focus on,find something else focus
4025,great,great
4026,so i ve decided i m going to collaborate with you,decided going collaborate
4027,great,great
4028,so what exactly is it you do,exactly
4029,i know you chatter on about it all the time but i ve never really paid attention,know chatter time never really paid attention
4030,right now i m designing an experiment to study the soft component,right designing experiment study soft component
4031,of cosmic radiation at sea level but i don t need help,cosmic radiation sea level need help
4032,oh sure you do,oh sure
4033,now see what s this here in the schematic a laser array,see schematic laser array
4034,yes now hmm,yes hmm
4035,what happens if you use argon lasers instead of helium neon,happens use argon lasers instead helium neon
4036,it would blow up are you sure,would blow sure
4037,pretty sure pretty sure is not very scientific,pretty sure pretty sure scientific
4038,is this how you normally work just hunches and guesses and stuff,normally work hunches guesses stuff
4039,okay,okay
4040,i understand that you re going through a bit of a career crisis,understand going bit career crisis
4041,you re searching for some other area where you can feel valuable and productive,searching area feel valuable productive
4042,but i need to tell you something and listen carefully,need tell something listen carefully
4043,all right go away,right go away
4044,if you re concerned about sharing credit with me your name can go first i m going,concerned sharing credit name go first going
4045,it s a small brown paper bag ma,small brown paper bag
4046,i m looking at it right now,looking right
4047,why would i make that up there s no ding dong in it,would make ding dong
4048,how are two ding dongs tomorrow gonna help me today,two ding dongs tomorrow gonna help today
4049,so this is engineering huh,engineering huh
4050,i ll talk to you later,talk later
4051,engineering where the noble semiskilled laborers,engineering noble semiskilled laborers
4052,execute the vision of those who think and dream,execute vision think dream
4053,hello oompa loompas of science,hello oompa loompas science
4054,sheldon what are you doing here,sheldon
4055,i just came by to say hello,came say hello
4056,for three years you ve never come by to say hello,three years never come say hello
4057,well up until now i ve had better things to do,well better things
4058,so what are we making today,making today
4059,a small payload support structure for a european science experimental package,small payload support structure european science experimental package
4060,that s going up on the next space shuttle really how does it work,going next space shuttle really work
4061,it will be attached to the payload bay,attached payload bay
4062,and the sensor apparatus will rest on it,sensor apparatus rest
4063,aha,aha
4064,so it s a shelf,shelf
4065,no you don t understand,understand
4066,during acceleration it needs to stay perfectly level and provide,acceleration needs stay perfectly level provide
4067,yeah okay it s a shelf,yeah okay shelf
4068,i notice you re using titanium,notice using titanium
4069,did you give any consideration to carbon nanotubes,give consideration carbon nanotubes
4070,they re lighter cheaper and have twice the tensile strength,lighter cheaper twice tensile strength
4071,sheldon there s a diploma in my office that says i have a master s in engineering,sheldon diploma office says master engineering
4072,and you also have a note from your mother that says i love you bubula,also note mother says love bubula
4073,but neither of those is a cogent argument for titanium over nanotubes,neither cogent argument titanium nanotubes
4074,sheldon yes,sheldon yes
4075,go away,go away
4076,did leonard tell you to say that,leonard tell say
4077,no i thought of it all by myself,thought
4078,huh can t be a coincidence,huh coincidence
4079,there must be some causal link i m missing,must causal link missing
4080,go away,go away
4081,font color sheldon font curiouser and curiouser,sheldon curiouser curiouser
4082,is he here if he were i wouldn t be,
4083,you know what he did he watched me work,know watched work
4084,and then started to design a simple piece of software that could replace me,started design simple piece software could replace
4085,is that even possible,even possible
4086,as it turns out yes,turns yes
4087,something s gotta be done about him like what,something gotta done like
4088,he ll never cope with the fact that some year old is smarter,never cope fact year old smarter
4089,and more accomplished than he is,accomplished
4090,what if something were to happen to him so he was no longer a threat to sheldon,something happen longer threat sheldon
4091,then our problem would be solved,problem would solved
4092,hang on are we talking about murdering dennis kim,hang talking murdering dennis kim
4093,i m not saying no,saying
4094,we don t have to go that far there are other means,go far means
4095,we can t send him back to north korea,send back north korea
4096,he knows how to get out,knows get
4097,the only thing we need to do is make this kim kid lose his focus,thing need make kim kid lose focus
4098,it won t happen he is not interested in anything but physics,happen interested anything physics
4099,what about biology what,biology
4100,you know biology,know biology
4101,the one thing that can completely derail a world class mind,one thing completely derail world class mind
